Saudi Arabia,Destination,7.210000038,7.199999809,6.670000076,6.25,5.860000134,5.480000019,5.099999905,4.730000019,4.349999905,4.570000172,4.619999886,5.269999981,5.559999943,5.820000172,6.050000191,6.25,5.730000019,5.079999924,5.380000114,5.550000191,5.769999981,5.519999981,5.570000172,5.71999979,5.590000153,5.650000095,5.889999866,6.039999962,6.130000114,8.220000267
United States,Destination,6.800000191,7.5,6.900000095,6.119999886,5.650000095,5.449999809,5,4.510000229,4.21999979,3.99000001,4.730000019,5.78000021,5.989999771,5.53000021,5.079999924,4.619999886,4.619999886,5.78000021,9.25,9.630000114,8.949999809,8.069999695,7.380000114,6.170000076,5.28000021,4.869999886,4.360000134,3.900000095,3.670000076,8.31000042
Afghanistan,Origin,11.38000011,11.46000004,11.60999966,11.64999962,11.64999962,11.64999962,11.64000034,11.64000034,11.68999958,11.64999962,11.63000011,11.68000031,11.68000031,11.60999966,11.52000046,11.34000015,11.18000031,11.10999966,11.46000004,11.52000046,11.51000023,11.52000046,11.53999996,11.44999981,11.39000034,11.31000042,11.18000031,11.06000042,10.97999954,11.72999954
Bangladesh,Origin,2.200000048,2.269999981,2.359999895,2.420000076,2.470000029,2.50999999,2.690000057,2.869999886,3.089999914,3.269999981,3.589999914,3.960000038,4.320000172,4.300000191,4.25,3.589999914,3.910000086,4.289999962,5,3.380000114,3.710000038,4.059999943,4.429999828,4.389999866,4.380000114,4.349999905,4.369999886,4.289999962,4.21999979,5.300000191
China,Origin,2.400000095,2.400000095,2.700000048,2.900000095,3,3.099999905,3.200000048,3.200000048,3.299999952,3.299999952,3.799999952,4.199999809,4.599999905,4.5,4.5,4.400000095,4.300000191,4.599999905,4.699999809,4.5,4.5,4.599999905,4.599999905,4.599999905,4.599999905,4.5,4.400000095,4.300000191,4.599999905,5
India,Origin,5.550000191,5.610000134,5.71999979,5.75,5.75,5.75,5.739999771,5.739999771,5.78000021,5.75,5.730000019,5.769999981,5.769999981,5.71999979,5.650000095,5.519999981,5.409999847,5.360000134,5.610000134,5.650000095,5.650000095,5.659999847,5.670000076,5.599999905,5.559999943,5.510000229,5.409999847,5.329999924,5.269999981,7.110000134
Mexico,Origin,3.150000095,3.24000001,3.369999886,4.440000057,7.099999905,5.46999979,4.239999771,3.730000019,2.599999905,2.650000095,2.630000114,3,3.460000038,3.940000057,3.559999943,3.569999933,3.630000114,3.869999886,5.360000134,5.300000191,5.170000076,4.889999866,4.909999847,4.809999943,4.309999943,3.859999895,3.420000076,3.279999971,3.480000019,4.710000038
Pakistan,Origin,0.589999974,0.600000024,0.620000005,0.629999995,0.629999995,0.629999995,0.629999995,0.629999995,0.639999986,0.629999995,0.629999995,0.639999986,0.639999986,0.629999995,0.610000014,0.579999983,0.400000006,0.419999987,0.540000021,0.649999976,0.800000012,1.700000048,2.950000048,1.830000043,3.569999933,3.779999971,3.940000057,4.079999924,3.980000019,4.650000095
Philippines,Origin,3.559999943,3.609999895,3.690000057,3.710000038,3.710000038,3.710000038,3.700000048,3.700000048,3.730000019,3.710000038,3.700000048,3.630000114,3.529999971,3.549999952,3.799999952,4.050000191,3.430000067,3.720000029,3.859999895,3.609999895,3.589999914,3.5,3.5,3.599999905,3.069999933,2.690000057,2.549999952,2.339999914,2.24000001,3.359999895
Syrian Arab Republic,Origin,6.75,7.050000191,7.400000095,7.5,7.199999809,7.289999962,7.380000114,7.46999979,7.599999905,9.510000229,11.63000011,10.97999954,10.27999973,9.590000153,8.899999619,8.170000076,8.420000076,10.93999958,8.140000343,8.609999657,8.600000381,8.609999657,8.619999886,8.550000191,8.5,8.43999958,8.329999924,8.229999542,8.159999847,9.029999733
Ukraine,Origin,1.899999976,1.899999976,2,2,5.619999886,7.650000095,8.930000305,11.31999969,11.85999966,11.71000004,11.06000042,10.14000034,9.06000042,8.590000153,7.179999828,6.809999943,6.349999905,6.360000134,8.840000153,8.100000381,7.849999905,7.53000021,7.170000076,9.270000458,9.140000343,9.350000381,9.510000229,8.800000191,8.18999958,9.479999542
