"Major area, region, country or area of destination",Notes,Code,Type of data (a),Estimated refugee stock (including asylum seekers) at mid-year (both sexes),,,,,,
Falkland Islands (Malvinas),15,238,B,0,0,0,0,0,0,0
French Guiana,,254,B,6601,3301,0,0,0,0,0
Guyana,,328,B,0,0,0,4,7,11,7
Paraguay,,600,B,66,60,23,58,115,209,256
Peru,,604,B,724,610,694,1184,1410,1867,196133
Suriname,,740,C,52,50,1,2,8,5,91
Uruguay,,858,B,87,132,82,130,229,380,2373
Venezuela (Bolivarian Republic of),,862,B,1750,1613,207,6320,217406,173989,123678
OCEANIA,,909,,110670,92440,83235,82168,37794,60487,109308
Australia / New Zealand,,927,,102581,82839,76169,72029,27812,49627,98172
Australia,16,36,B,97915,79081,71246,66722,25505,48005,96295
New Zealand,,554,B,4666,3758,4923,5307,2307,1622,1877
Melanesia,,928,,8089,9601,7066,10139,9704,9980,10041
Fiji,,242,B,0,0,0,1,1,20,19
New Caledonia,,540,B,0,0,0,0,0,0,0
Papua New Guinea,,598,C R,8089,9601,7066,10138,9699,9955,10018
Solomon Islands,,90,B,0,0,0,0,0,3,3
Vanuatu,,548,B,0,0,0,0,4,2,1
Micronesia,,954,,0,0,0,0,278,880,1092
Guam,,316,B,0,0,0,0,0,0,0
Kiribati,,296,B,0,0,0,0,0,0,0
Marshall Islands,,584,B,0,0,0,0,0,0,0
Micronesia (Fed. States of),,583,B,0,0,0,0,1,14,0
Nauru,,520,C,0,0,0,0,277,865,1092
Northern Mariana Islands,,580,B,0,0,0,0,0,0,0
Palau,,585,B,0,0,0,0,0,1,0
Polynesia,17,957,,0,0,0,0,0,0,3
American Samoa,,16,B,0,0,0,0,0,0,0
Cook Islands,,184,B,0,0,0,0,0,0,0
French Polynesia,,258,B,0,0,0,0,0,0,0
Niue,,570,B,0,0,0,0,0,0,0
Samoa,,882,B,0,0,0,0,0,0,3
Tokelau,,772,B,0,0,0,0,0,0,0
Tonga,,776,B,0,0,0,0,0,0,0
Tuvalu,,798,C,0,0,0,0,0,0,0
Wallis and Futuna Islands,,876,B,0,0,0,0,0,0,0
EUROPE AND NORTHERN AMERICA,,1829,,1933520,3792129,3492605,2558595,2176698,3535382,4682013
