Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Indonesia,IDN,GDP per capita (current US$),585.07655,631.7828373,681.9383856,827.9053053,912.2032751,1026.39342,1137.410118,1063.712365,463.9481695,671.0986161,780.190201,748.2576157,900.1775757,1065.648539,1150.261315,1263.287321,1589.801489,1860.002763,2166.854167,2261.247224,3122.362815,3643.043936,3694.348946,3623.911582,3491.624791,3331.695128,3562.845756,3837.651731,3893.846425,4135.569263
India,IND,GDP per capita (current US$),367.5566093,303.0556053,316.9539279,301.1590042,346.1029503,373.76648,399.9500768,415.493797,413.2989342,441.9987596,443.3141934,451.5730011,470.9867859,546.7266145,627.7742473,714.8610135,806.7532806,1028.334771,998.522339,1101.96084,1357.563719,1458.103527,1443.879529,1449.605912,1573.881492,1605.605434,1732.564262,1981.65105,2005.863005,2099.599048
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),2214.327492,2214.327492,2214.327492,1067.307533,1185.686304,1569.255294,1932.804985,1804.336677,1723.835367,1756.896667,1670.00947,1909.412278,1911.678792,2253.936132,2756.198742,3246.051029,3774.357841,4904.666252,5717.314465,5709.94798,6599.660938,7781.406114,7927.846902,6018.324473,5585.526758,4904.326877,5253.42491,5520.310471,5550.060957,5550.061
Iraq,IRQ,GDP per capita (current US$),10326.92166,10326.92166,10326.92166,10326.92166,10326.92166,10326.92166,10326.92166,10326.92166,10326.92166,10326.92166,10326.92166,10326.92166,10326.92166,10326.92166,1391.963489,1855.522004,2373.214785,3182.947982,4636.610978,3853.940935,4655.424995,6036.396243,6829.963954,7076.87718,6818.804621,4989.803075,4777.197619,5205.288255,5834.166211,5955.10901
Italy,ITA,GDP per capita (current US$),20825.78422,21956.52977,23243.47453,18738.7639,19337.6309,20664.55227,23081.60468,21829.34582,22318.1373,21997.62432,20087.59199,20483.21599,22270.14412,27465.6753,31259.7165,32043.14037,33501.65817,37822.66524,40778.34274,37079.75867,36000.52012,38599.06221,35053.52624,35549.9747,35518.41529,30230.2263,30939.71425,32406.72032,34615.75689,33228.23668
Kazakhstan,KAZ,GDP per capita (current US$),1647.463231,1512.485066,1515.104059,1433.461534,1320.321622,1288.239052,1350.333866,1445.569414,1468.701798,1130.113592,1229.000958,1490.92709,1658.030785,2068.124118,2874.288291,3771.278957,5291.57565,6771.414797,8513.564645,7165.223175,9070.488253,11634.0019,12386.7,13890.63177,12807.26069,10510.77189,7714.841844,9247.581331,9812.601405,9812.390376
"Korea, Rep.",KOR,GDP per capita (current US$),6610.036508,7636.982429,8126.67039,8884.928319,10385.33617,12564.77813,13403.04959,12398.48003,8281.699982,10672.41793,12256.99357,11561.24837,13165.06574,14672.85747,16496.12009,19402.50263,21743.47745,24086.41044,21350.42798,19143.85161,23087.22564,25096.26388,25466.76052,27182.73431,29249.57522,28732.23108,29288.87044,31616.8434,33422.94421,31846.21823
Lao PDR,LAO,GDP per capita (current US$),203.2559698,234.7642311,250.6042183,287.3949673,325.9410612,363.8796019,378.4281472,345.9213648,248.8390431,277.8098415,325.1869982,326.9419076,320.0615179,362.8214135,417.9285042,475.6107135,590.6327074,710.344815,900.3236718,948.6539323,1140.599205,1378.361365,1581.395403,1825.665113,1998.335215,2134.711796,2308.800482,2423.846203,2542.486528,2534.89828
Sri Lanka,LKA,GDP per capita (current US$),463.6186318,513.2585353,547.0547194,576.7800126,647.5790491,714.2334273,756.6570729,817.064349,850.8114206,838.8838674,869.6965166,832.8034402,867.4912137,982.1956459,1065.784437,1248.698185,1435.817177,1630.388906,2037.322103,2090.401826,2799.648876,3200.833829,3350.521876,3610.289363,3819.25353,3843.780672,3886.291502,4077.043721,4080.567125,3853.083693
Morocco,MAR,GDP per capita (current US$),1206.011838,1266.849441,1299.421679,1199.319377,1326.941304,1432.310151,1561.129441,1396.769917,1472.38562,1447.968739,1334.943051,1339.293577,1416.488158,1725.458038,1952.90183,2018.025743,2196.01219,2499.259938,2890.360083,2866.924199,2839.925168,3046.949136,2912.658275,3121.681176,3171.699192,2875.257985,2896.720003,3036.325255,3222.200634,3204.095003
Mexico,MEX,GDP per capita (current US$),3112.268706,3661.947879,4170.623287,5650.026286,5854.417857,3928.223926,4412.116345,5289.167988,5481.181497,6157.192475,7157.8145,7544.568648,7593.137793,7075.369643,7484.486542,8277.671251,9068.294387,9642.680605,10016.5713,8002.972106,9271.398233,10203.42085,10241.72792,10725.18332,10928.91683,9616.645006,8744.515772,9287.849736,9686.513783,9946.033829
Mali,MLI,GDP per capita (current US$),317.3893069,315.4563173,319.8380297,310.1382515,223.018023,282.341255,282.6330008,267.1891588,281.8726309,323.1686388,269.8711377,307.4369205,334.8365206,392.524759,440.1684418,489.021069,523.0386031,596.6901888,694.2776501,698.8989219,710.2742022,837.6034406,778.6192858,805.0328382,848.2740537,751.4747889,780.7185985,830.0183674,894.8021869,879.0080104
Myanmar,MMR,GDP per capita (current US$),190.6062319,190.6062319,190.6062319,190.6062319,190.6062319,190.6062319,190.6062319,190.6062319,190.6062319,190.6062319,190.6062319,137.1683267,142.0822652,217.3904189,217.5942826,244.8823499,294.1631813,406.7286892,638.1490599,734.4460067,979.05163,1176.242453,1165.794329,1162.33144,1251.820765,1287.430487,1266.546338,1291.542413,1418.177623,1407.813143
Malaysia,MYS,GDP per capita (current US$),2441.741991,2653.526742,3113.646333,3433.163316,3728.111974,4329.707364,4798.61314,4637.865016,3263.33385,3492.669354,4043.662051,3913.428726,4165.726104,4461.847687,4952.212975,5587.02565,6209.124508,7243.455987,8474.586829,7292.494447,9040.566251,10399.37275,10817.44287,10970.12328,11319.07976,9955.243708,9817.738457,10259.18178,11377.455,11414.20698
Nigeria,NGA,GDP per capita (current US$),567.5286729,502.9141389,477.1776142,270.2239615,321.3206772,408.18106,461.5195779,479.9837556,469.4305648,497.8415405,567.930736,590.381815,741.7475112,795.3862467,1007.874328,1268.383443,1656.424759,1883.461311,2242.871886,1891.33537,2280.437424,2487.598154,2723.822777,2961.550284,3098.9863,2687.480145,2176.002245,1968.564738,2027.777979,2229.858696
Nepal,NPL,GDP per capita (current US$),191.8789042,202.08061,170.5866683,178.6259703,193.279505,203.980809,204.6857552,217.787953,210.6114878,214.106767,229.4902871,246.725629,244.7208237,252.4024323,286.1575938,315.80563,346.9452514,391.3801314,470.4555473,478.1731816,592.4010975,699.4293377,698.4664794,715.923743,743.4133813,792.5528906,777.1475955,911.4442665,1038.651647,1071.050761
Pakistan,PAK,GDP per capita (current US$),371.6785573,411.859465,429.1469022,442.4922384,434.4654114,489.881814,497.2161432,476.3812312,461.2167361,454.2761254,576.1956006,544.4942738,534.3038828,599.3763227,687.8364171,748.9225846,836.8605211,908.0950906,990.8465996,957.9956808,987.409723,1164.976129,1198.109001,1208.90431,1251.164104,1356.667756,1368.454326,1464.993305,1482.305667,1284.702041
Peru,PER,GDP per capita (current US$),1196.586858,1524.770874,1566.011552,1488.033249,1881.737119,2194.01797,2232.075906,2306.438801,2163.120031,1924.486567,1955.588006,1941.475632,2021.23974,2145.643183,2417.035501,2729.498682,3154.331237,3606.070435,4220.616969,4196.312793,5082.354757,5869.32308,6528.972218,6756.752769,6672.880255,6229.101696,6204.99726,6710.508029,6941.235848,6977.695784
